,epoch,train_loss,val_loss
0,1,1642.450270652771,0.0
1,2,1412.01735830307,0.0
2,3,1307.9108157157898,0.0
3,4,1227.6222972869873,0.0
4,5,1128.3654584884644,0.0
5,6,1061.498218536377,0.0
6,7,1030.9383835792542,0.0
7,8,1000.7878413200378,0.0
8,9,991.8748874664307,0.0
9,10,972.4836220741272,941.3909602165222
10,11,945.2558822631836,0.0
11,12,915.7473182678223,0.0
12,13,910.9515962600708,0.0
13,14,891.6213459968567,0.0
14,15,882.3128833770752,0.0
15,16,858.7548265457153,0.0
16,17,845.2590255737305,0.0
17,18,839.3401403427124,0.0
18,19,826.4631586074829,0.0
19,20,818.3269457817078,830.6719307899475
20,21,799.5191993713379,0.0
21,22,792.0703318119049,0.0
22,23,776.7694387435913,0.0
23,24,768.4112358093262,0.0
24,25,765.3608524799347,0.0
25,26,760.3137941360474,0.0
26,27,742.2169625759125,0.0
27,28,732.3767595291138,0.0
28,29,732.3831458091736,0.0
29,30,719.8457751274109,765.4534397125244
30,31,714.9742856025696,0.0
31,32,701.8954312801361,0.0
32,33,700.4056308269501,0.0
33,34,685.3964881896973,0.0
34,35,684.0761444568634,0.0
35,36,676.4154965877533,0.0
36,37,672.6003453731537,0.0
37,38,666.9534661769867,0.0
38,39,658.1493055820465,0.0
39,40,651.7071380615234,688.643758058548
40,41,645.5949771404266,0.0
41,42,649.7704834938049,0.0
42,43,643.5431089401245,0.0
43,44,627.8703141212463,0.0
44,45,632.435554265976,0.0
45,46,619.4758522510529,0.0
46,47,620.5707342624664,0.0
47,48,611.0410931110382,0.0
48,49,609.549263715744,0.0
49,50,597.9086372852325,674.6978669166565
50,51,599.2207772731781,0.0
